          18
       40500
 non-polarized
    2.71550000    2.71550000    0.00000000
    2.71550000    0.00000000    2.71550000
    0.00000000    2.71550000    2.71550000
rcell x   rcell y   rcell z   i   j   H   S
  -10.8620  -10.8620  -10.8620      13      11    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      13      12    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      13      13    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      13      14    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      13      15   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      13      16    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      13      17    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      13      18    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      14       1    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      14       2    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      14       3   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      14       4    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      14       5    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      14       6    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      14       7    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      14       8    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      14       9   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      14      10    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      14      11    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      14      12   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      14      13    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      14      14    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      14      15    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      14      16    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      14      17    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      14      18   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      15       1    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      15       2   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      15       3   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      15       4    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      15       5    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      15       6    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      15       7   -0.00000000    0.00000000    0.00000000
